City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
166,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
169,Port Blair,IN,83.3,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
171,Butaritari,KI,81.68,light rain,3.0707,172.7902,Isles Sunset Lodge
190,Najran,SA,79.45,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
192,Kavieng,PG,85.08,broken clouds,-2.5744,150.7967,Nusa Island Retreat
193,Shache,CN,84.31,broken clouds,38.4167,77.2406,Delong Hotel
194,Kulhudhuffushi,MV,81.82,overcast clouds,6.6221,73.07,Haajy Guest House 1
197,Langsa,ID,83.26,moderate rain,4.4683,97.9683,OYO 3328 Hotel Mori
202,Mahon,ES,75.76,clear sky,39.8885,4.2658,ARTIEM Capri
203,Brokopondo,SR,75.56,overcast clouds,4.75,-55.1667,Matu Island
208,Monrovia,LR,75.47,light rain,6.3005,-10.7969,Sunset Inn
217,Lang Suan,TH,78.51,overcast clouds,9.9456,99.0785,Langsuan Resort
218,Mahebourg,MU,75.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
219,Chake Chake,TZ,75.96,light rain,-5.2459,39.7666,Hotel Archipelago
220,Winslow,US,75.38,clear sky,35.0242,-110.6974,Best Western Plus Winslow Inn
221,Tongliao,CN,87.01,overcast clouds,43.6125,122.2653,Meirujia Hotel
223,Biak,ID,80.28,light rain,-0.9131,122.8766,Penginapan Kim
225,Matay,EG,79.45,few clouds,28.419,30.7792,Nag Aespen
226,Banepa,NP,80.92,scattered clouds,27.6298,85.5214,Dhulikhel Lodge Resort
231,Namatanai,PG,84.34,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
232,Benghazi,LY,78.15,clear sky,32.1167,20.0667,Tibesti Hotel
233,Pampa,US,83.57,clear sky,35.5362,-100.9599,"Holiday Inn Express & Suites Pampa, an IHG Hotel"
234,Paraibano,BR,76.84,overcast clouds,-6.4331,-43.9836,Casa Pedrosa
242,Aljezur,PT,77.88,overcast clouds,37.3191,-8.8033,Amazigh Hostel
244,Kieta,PG,83.66,few clouds,-6.2167,155.6333,Uruna Bay Retreat
250,Hasaki,JP,81.28,light rain,35.7333,140.8333,Inubosaki Kanko Hotel
251,Kanniyakumari,IN,84.07,overcast clouds,8.0833,77.5667,Sparsa Kanyakumari
255,Huron,US,78.26,scattered clouds,41.1501,-82.5499,Meadow Brook Mobile Estates
260,Sun Valley,US,82.58,clear sky,39.5963,-119.776,Panther Valley RV Park
264,Portobelo,PA,75.96,overcast clouds,9.55,-79.65,Scuba Portobelo
269,Teknaf,BD,83.21,overcast clouds,20.8624,92.3058,Forestry Guesthouse
276,Grand Gaube,MU,75.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
278,Severodvinsk,RU,78.91,scattered clouds,64.5635,39.8302,Park Hotel
280,Quatre Cocos,MU,75.09,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
284,Amahai,ID,75.96,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
288,Fukuma,JP,85.28,overcast clouds,33.7667,130.4667,Masago
292,Hobyo,SO,81.09,broken clouds,5.3505,48.5268,Iftin hotel hobyo
293,Garowe,SO,81.12,scattered clouds,8.4054,48.4845,Curubo Hotel
299,Mamallapuram,IN,89.65,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
300,Galle,LK,82.67,overcast clouds,6.0367,80.217,Amangalla
301,Cairns,AU,82.06,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
306,Farafenni,GM,78.37,broken clouds,13.5667,-15.6,Eddy's Hotel
307,Romano Di Lombardia,IT,77.04,broken clouds,45.5246,9.7484,Hotel La Conchiglia
309,Chirongui,YT,78.73,clear sky,-12.9319,45.1483,La Villa Mahatsara
312,Oussouye,SN,77.63,broken clouds,12.485,-16.5469,Auberge du Routard
