City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
258,Kautokeino,NO,69.0125,23.0412,63.41,60,55,5.99,broken clouds
259,Iqaluit,CA,63.7506,-68.5145,44.33,87,100,3.44,overcast clouds
260,Sun Valley,US,39.5963,-119.776,82.58,27,0,1.01,clear sky
261,Saint-Francois,FR,46.4154,3.9054,58.68,94,0,1.14,clear sky
262,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,65.93,92,93,5.73,overcast clouds
263,Taikang,CN,46.8333,124.4167,91.17,34,29,13.87,scattered clouds
264,Portobelo,PA,9.55,-79.65,75.96,90,98,6.24,overcast clouds
265,Port Hawkesbury,CA,45.6169,-61.3485,61.72,76,0,4.61,clear sky
266,Jumla,NP,29.2747,82.1838,70.83,73,95,3.62,overcast clouds
267,Alta,NO,69.9689,23.2717,65.46,63,0,5.75,clear sky
268,Te Anau,NZ,-45.4167,167.7167,39.67,93,100,5.91,overcast clouds
269,Teknaf,BD,20.8624,92.3058,83.21,83,90,14.79,overcast clouds
270,Ipixuna,BR,-1.7625,-48.8043,72.09,97,57,3.2,broken clouds
271,Port Hardy,CA,50.6996,-127.4199,57.38,94,75,3.44,broken clouds
272,Bereda,ES,43.2686,-7.5406,64.42,74,0,2.19,clear sky
273,Rovaniemi,FI,66.5,25.7167,69.21,77,20,4.61,few clouds
274,Tsabong,BW,-26.0217,22.401,48.94,40,0,8.16,clear sky
275,Hoquiam,US,46.9809,-123.8893,64.38,80,0,4.61,clear sky
276,Grand Gaube,MU,-20.0064,57.6608,75.38,60,2,8.01,clear sky
277,Huarmey,PE,-10.0681,-78.1522,61.21,86,5,9.71,clear sky
278,Severodvinsk,RU,64.5635,39.8302,78.91,62,36,4.85,scattered clouds
279,Watsa,CD,3.0372,29.5355,69.6,75,69,2.57,broken clouds
280,Quatre Cocos,MU,-20.2078,57.7625,75.09,57,25,18.14,scattered clouds
281,Beringovskiy,RU,63.05,179.3167,47.97,86,39,2.57,scattered clouds
282,Port Hueneme,US,34.1478,-119.1951,66.52,92,100,8.05,mist
283,Lakes Entrance,AU,-37.8811,147.981,53.17,71,100,7.31,overcast clouds
284,Amahai,ID,-3.3333,128.9167,75.96,92,100,7.18,overcast clouds
285,Letlhakeng,BW,-24.0944,25.0298,54.18,32,0,5.01,clear sky
286,Petropavlovka,RU,50.6114,105.3196,72.93,44,69,2.77,broken clouds
287,Hofn,IS,64.2539,-15.2082,51.51,85,100,7.09,light rain
